term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note
Pneumonitis,Respiratory thoracic and mediastinal disorders,CTCAE v5.0,ILD;interstitial lung disease;immune pneumonitis,Asymptomatic or mild symptoms,Symptomatic; medical intervention indicated,Severe symptoms; oxygen or hospitalization indicated,Life-threatening respiratory compromise,Death,Inflammation of lung parenchyma,Common ICI ADC TKI toxicity; verify exact CTCAE wording
Colitis,Gastrointestinal disorders,CTCAE v5.0,immune colitis;colitis,Mild symptoms,Moderate symptoms; medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences,Death,Inflammation of the colon,Common immune-related AE; verify exact CTCAE wording
Hypothyroidism,Endocrine disorders,CTCAE v5.0,low thyroid;TSH high,Asymptomatic or mild symptoms,Symptomatic; thyroid replacement indicated,Severe symptoms; hospitalization possible,Life-threatening consequences,Death,Deficient thyroid hormone activity,Common immune-related AE
Hyperthyroidism,Endocrine disorders,CTCAE v5.0,thyrotoxicosis;TSH low,Asymptomatic or mild symptoms,Symptomatic; medical intervention indicated,Severe symptoms; hospitalization possible,Life-threatening consequences,Death,Excess thyroid hormone activity,Common immune-related AE
Thyroiditis,Endocrine disorders,CTCAE v5.0,immune thyroiditis;thyroid inflammation,Asymptomatic; diagnostic observation only,Symptomatic; medical intervention indicated,Severe symptoms; hospitalization possible,Life-threatening consequences,Death,Inflammation of the thyroid gland,Common immune-related AE
Adrenal insufficiency,Endocrine disorders,CTCAE v5.0,AI;low cortisol;adrenal crisis,Asymptomatic or mild symptoms,Symptomatic; hormone replacement indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences,Death,Reduced adrenal hormone production,Important immune-related AE
Hypophysitis,Endocrine disorders,CTCAE v5.0,pituitary inflammation;pituitary;hypopituitarism,Asymptomatic or mild symptoms,Symptomatic; medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences,Death,Inflammation of pituitary gland,Important immune-related AE
Diabetes mellitus,Endocrine disorders,CTCAE v5.0,new onset diabetes;T1DM;insulin dependent diabetes,Mild hyperglycemia,Oral medication or dietary intervention indicated,Insulin therapy or hospitalization indicated,Life-threatening consequences such as ketoacidosis,Death,Disorder of glucose metabolism,Immune-mediated diabetes may present abruptly
Myocarditis,Cardiac disorders,CTCAE v5.0,immune myocarditis;myocarditis,Asymptomatic diagnostic finding,Moderate symptoms; medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences,Death,Inflammation of myocardium,Important immune-related AE; urgent evaluation often needed
Pericardial effusion,Cardiac disorders,CTCAE v5.0,pericardial fluid;cardiac tamponade,Asymptomatic effusion,Symptomatic effusion; intervention indicated,Physiologic consequences; invasive intervention indicated,Life-threatening consequences,Death,Fluid accumulation in pericardial sac,Can be malignant immune-related or drug-related
Heart failure,Cardiac disorders,CTCAE v5.0,CHF;cardiac failure,Asymptomatic imaging or lab abnormality,Symptoms with medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences,Death,Impaired cardiac function,Important for HER2 agents ADCs and TKIs
Hypertension,Vascular disorders,CTCAE v5.0,high blood pressure;BP,Mild elevation,Medical intervention or intensified therapy indicated,Severe elevation or more than one drug indicated,Life-threatening consequences,Death,Elevated blood pressure,Important for VEGF/VEGFR therapies
QT corrected interval prolonged,Investigations,CTCAE v5.0,QTc prolongation;QT prolongation;EKG;ECG,Mild QTc prolongation,Moderate QTc prolongation,Marked QTc prolongation or significant change from baseline,Serious arrhythmia or torsade de pointes,Death,Prolongation of QTc interval,Important for TKIs antiemetics and combinations
Thromboembolic event,Vascular disorders,CTCAE v5.0,thrombosis;embolism;DVT,Asymptomatic; intervention not indicated,Medical intervention indicated,Hospitalization indicated,Life-threatening consequences,Death,Thrombotic or embolic vascular event,Important for antiangiogenic therapies
Pulmonary embolism,Vascular disorders,CTCAE v5.0,PE;pulmonary embolus,Asymptomatic,Medical intervention indicated,Hospitalization indicated,Life-threatening respiratory or hemodynamic compromise,Death,Occlusion of pulmonary artery by embolus,Consider SAE criteria
Rash maculo-papular,Skin and subcutaneous tissue disorders,CTCAE v5.0,rash;maculopapular rash;skin rash,Limited rash or mild symptoms,Moderate rash; limiting instrumental ADL,Severe rash; limiting self care ADL,Life-threatening skin reaction,Death,Macular and papular eruption,Common ICI targeted therapy and ADC toxicity
Pruritus,Skin and subcutaneous tissue disorders,CTCAE v5.0,itching;pruritus,Mild or localized,Intense or widespread; limiting instrumental ADL,Intense or constant; limiting self care ADL or sleep,Life-threatening consequences,Death,Itching sensation,Common immune-related AE
Bullous dermatitis,Skin and subcutaneous tissue disorders,CTCAE v5.0,bullous rash;blister,Asymptomatic or mild blisters,Blisters limiting instrumental ADL,Severe blisters limiting self care ADL,Life-threatening skin reaction,Death,Blistering skin eruption,Escalate quickly if mucosal or extensive
Palmar-plantar erythrodysesthesia syndrome,Skin and subcutaneous tissue disorders,CTCAE v5.0,PPE;hand-foot syndrome;HFS,Minimal skin change without pain,Skin change with pain; limiting instrumental ADL,Severe skin change with pain; limiting self care ADL,-,-,Hand-foot skin reaction,Common with fluoropyrimidine multikinase inhibitors and some ADCs
Peripheral sensory neuropathy,Nervous system disorders,CTCAE v5.0,neuropathy;numbness;paresthesia,Asymptomatic or mild paresthesia,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL,Life-threatening consequences,Death,Sensory nerve dysfunction,Common with taxane platinum and ADC payloads
Peripheral motor neuropathy,Nervous system disorders,CTCAE v5.0,motor neuropathy;weakness,Mild weakness,Moderate weakness; limiting instrumental ADL,Severe weakness; limiting self care ADL,Life-threatening consequences,Death,Motor nerve dysfunction,Can affect gait and safety
Encephalopathy,Nervous system disorders,CTCAE v5.0,altered mental status;AMS;encephalopathy,Mild symptoms,Moderate symptoms; limiting instrumental ADL,Severe symptoms; hospitalization indicated,Life-threatening consequences,Death,Diffuse brain dysfunction,Consider infection metabolic CNS immune or drug causes
Confusion,Psychiatric disorders,CTCAE v5.0,confusional state;delirium,Mild disorientation,Moderate confusion; limiting instrumental ADL,Severe confusion; hospitalization indicated,Life-threatening consequences,Death,Acute change in attention cognition or awareness,Consider urgent workup if acute
Seizure,Nervous system disorders,CTCAE v5.0,convulsion;seizure,Brief partial seizure,Brief generalized seizure,Multiple seizures or hospitalization indicated,Life-threatening prolonged seizure,Death,Abnormal neuronal activity causing symptoms,Consider SAE criteria
Acute kidney injury,Renal and urinary disorders,CTCAE v5.0,AKI;acute renal failure;renal failure,Mild creatinine rise,Moderate creatinine rise,Severe creatinine rise or hospitalization indicated,Life-threatening consequences or dialysis indicated,Death,Abrupt decrease in kidney function,Use protocol and local renal definitions when specified
Proteinuria,Renal and urinary disorders,CTCAE v5.0,urine protein;UPCR;protein in urine,1+ or mild proteinuria,2+ to 3+ or moderate proteinuria,Severe proteinuria or nephrotic range,Life-threatening consequences,Death,Excess protein in urine,Important for VEGF/VEGFR agents
Ocular surface disease,Eye disorders,CTCAE v5.0,dry eye;keratitis;ocular toxicity;eye irritation,Mild symptoms; lubricants indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL,Vision-threatening consequences,Death,Ocular surface irritation or inflammation,Important for some ADCs and targeted agents
Vision blurred,Eye disorders,CTCAE v5.0,blurred vision;vision change,Mild visual blurring,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL,Vision-threatening consequences,Death,Reduced visual clarity,Consider ophthalmology evaluation if persistent or severe
Infusion related reaction,General disorders and administration site conditions,CTCAE v5.0,IRR;infusion reaction,Mild transient reaction,Infusion interruption indicated; responds promptly,Prolonged or recurrent symptoms; hospitalization indicated,Life-threatening consequences,Death,Adverse reaction temporally related to infusion,Important for monoclonal antibodies ADCs and cellular therapy
Cytokine release syndrome,Immune system disorders,CTCAE v5.0,CRS;cytokine storm,Mild reaction,Moderate reaction; medical intervention indicated,Severe reaction; hospitalization indicated,Life-threatening consequences,Death,Systemic inflammatory response from cytokine release,Protocol-specific CRS grading may supersede CTCAE
