site,edition,tnm_first_strategy,exception_category,release_status,stage_group_sections,required_extra_inputs,exact_t_categories,exact_n_categories,exact_m_categories,source_pages,tool_note
Esophagus / EGJ - squamous,AJCC8,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,grade/G; histology; tumor location/site,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,94-100,"TNM-first but not TNM-only: AJCC8 requires histology=squamous, grade, tumor location for relevant tables, and separate clinical/pathological/yp stage groupings. Use exact T1a/T1b when applicable."
Esophagus / EGJ - adenocarcinoma,AJCC8,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,grade/G; histology,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,101-106,"TNM-first but not TNM-only: AJCC8 requires adenocarcinoma histology, grade for relevant tables, and separate clinical/pathological/yp stage groupings. EGJ epicenter rules apply."
Stomach,AJCC8,tnm_plus_classification_split,TNM plus c/p/yp table split,build_tnm_rows_with_stage_basis_tabs,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3 N3a N3b,M0 M1 MX,112-118,TNM-first with separate clinical/pathological/yp stage groups. Do not use pTNM table as cTNM. Preserve T1a/T1b and N3a/N3b in input.
Small intestine,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,M0 M1 MX,120-125,TNM-first adenocarcinoma table. Other small-intestine histologies may not use this stage group.
Colon,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b,M0 M1a M1b M1c MX,136-140,"TNM-first. Must preserve exact T4a/T4b, N1a/N1b/N1c, N2a/N2b, and M1a/M1b/M1c when available."
Rectum,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b,M0 M1a M1b M1c MX,136-140,"TNM-first. Must preserve exact T4a/T4b, N1a/N1b/N1c, N2a/N2b, and M1a/M1b/M1c when available."
Appendix - carcinoma,AJCC8,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,single/shared table,grade/G,TX T0 Tis Tis(LAMN) T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2,M0 M1a M1b M1c MX,131-135,"TNM-first but not TNM-only for stage IV: grade is required for M1b grouping; preserve Tis(LAMN), T4a/b, N1a/b/c, M1a/b/c."
GIST,AJCC8,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,single/shared table,mitotic rate,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,240-242,Exception/smart form: stage grouping depends on anatomic site and mitotic rate in addition to T/N/M.
HCC / Liver,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,145-148,TNM-first with exact T subcategories; preserve T1a/T1b when applicable.
Intrahepatic bile duct,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,149-152,TNM-first with exact T subcategories; preserve T1a/T1b when applicable.
