site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Adrenal Cortical Carcinoma,AJCC7,any,T,T1,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,T,T2,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,T,T3,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,T,T4,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,N,N0,No regional lymph node metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,N,N1,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,M,M0,No distant metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC7,any,M,M1,Distant metastasis category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal Cortical Carcinoma,AJCC8,any,T,T1,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal Cortical Carcinoma,AJCC8,any,T,T2,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
