tool_site,display_label,ajcc7_import_rule_rows,ajcc8_import_rule_rows,ajcc7_definition_rows,ajcc8_definition_rows,candidate_ajcc7_rule_rows_review_only,candidate_ajcc8_rule_rows_review_only,candidate_ajcc7_definition_rows_review_only,candidate_ajcc8_definition_rows_review_only,coverage_status,crosswalk_note
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,24,24,18,18,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,26,24,18,18,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,22,69,20,20,18,0,27,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,8,7,15,15,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Colon,Colon adenocarcinoma / 結腸癌,29,17,21,22,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Rectum,Rectal adenocarcinoma / 直腸癌,29,17,21,22,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,24,13,18,22,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,0,0,12,12,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,7,8,13,14,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,7,9,12,14,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,14,8,15,15,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,9,8,12,13,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Gallbladder,Gallbladder carcinoma / 膽囊癌,11,10,15,17,8,0,32,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,9,11,12,17,14,14,28,17,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,9,8,12,16,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,7,5,12,12,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,7,5,12,12,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,7,5,13,13,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,10,5,12,12,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,7,6,12,12,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,14,5,12,12,0,0,0,0,verified_both_editions,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,0,0,0,0,0,8,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Oral Cavity,Oral Cavity,0,0,0,0,0,6,0,19,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Major Salivary Glands,Major Salivary Glands,0,0,0,0,10,8,17,12,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Nasopharynx,Nasopharynx,0,0,0,0,0,0,0,14,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,0,0,0,0,0,4,0,12,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Oropharynx (p16-),Oropharynx (p16-),0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Hypopharynx,Hypopharynx,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Maxillary Sinus,Maxillary Sinus,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Larynx: Supraglottis,Larynx: Supraglottis,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Larynx: Glottis,Larynx: Glottis,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Larynx: Subglottis,Larynx: Subglottis,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,0,0,0,0,8,0,14,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Cutaneous Carcinoma of the Head and Neck,Cutaneous Carcinoma of the Head and Neck,0,0,0,0,0,12,0,25,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Esophagus and Esophagogastric Junction: Other Histologies,Esophagus and Esophagogastric Junction: Other Histologies,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Small Intestine: Other Histologies,Small Intestine: Other Histologies,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Anus,Anus,0,0,0,0,8,0,35,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Thymus,Thymus,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Lung,Lung,0,0,0,0,16,0,22,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma,0,0,0,0,0,0,0,10,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones","Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Bone: Spine,Bone: Spine,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Bone: Pelvis,Bone: Pelvis,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Soft Tissue Sarcoma of the Head and Neck,Soft Tissue Sarcoma of the Head and Neck,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Soft Tissue Sarcoma of the Trunk and Extremities,Soft Tissue Sarcoma of the Trunk and Extremities,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
