test,got,expected,pass
MK-3475-06C exists in INITIAL_TRIALS,True,True,True
MK-3475-06C packaged status is open,進行中,進行中,True
MK-3475-06C open enrollment despite old false closure risk,True,True,True
MK-3475-06C cloud false 試驗終了 without trusted source repaired,進行中,進行中,True
MK-3475-06C trusted manual 試驗終了 remains closed,試驗終了,試驗終了,True
MK-3475-06F exists in INITIAL_TRIALS,True,True,True
MK-3475-06F packaged status is open,進行中,進行中,True
MK-3475-06F open enrollment despite old false closure risk,True,True,True
MK-3475-06F cloud false 試驗終了 without trusted source repaired,進行中,進行中,True
MK-3475-06F trusted manual 試驗終了 remains closed,試驗終了,試驗終了,True
06F target 3-5 is not numerically full,False,False,True
06B target 6-10 / enrolled 6 remains open if status open,False,False,True
open status beats no slot text in target/comments,False,False,True
inactive is not misread as active/open,False,False,True
inactive is unavailable,True,True,True
detected-text closure cannot override open,進行中,進行中,True
explicit status column can close trial,試驗終了,試驗終了,True
manual open overrides previous closure,進行中,進行中,True
default imported open cannot reopen trusted manual closure,試驗終了,試驗終了,True
