form_id,cancer_site_or_form,supplement_pages,has_tnm_definitions,has_stage_group,no_prognostic_stage_group,stage_group_sections_detected,t_categories_defined,n_categories_defined,m_categories_defined,required_inputs_in_stage_table,stage_table_risk_flags,tool_model_recommendation,tnm_first_strategy,exception_category,release_status,tnm_default_policy
16.1,Esophagus and Esophagogastric Junction: Squamous Cell Carcinoma,94-100,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,grade/G; histology; tumor location/site,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology; requires tumor location/site,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
16.2,Esophagus and Esophagogastric Junction: Adenocarcinoma,101-106,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,grade/G; histology,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
16.3,Esophagus and Esophagogastric Junction: Other Histologies,107-111,True,True,True,none,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
17.0,Stomach,112-118,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3 N3a N3b,M0 M1 MX,,stage table uses N subcategories; stage table uses T subcategories; separate stage tables by classification,Smart-form needed before validated release.,tnm_plus_classification_split,TNM plus c/p/yp table split,build_tnm_rows_with_stage_basis_tabs,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
18.1,Small Intestine: Adenocarcinoma,120-125,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
18.2,Small Intestine: Other Histologies,126-130,True,True,True,none,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
19.0,Appendix - Carcinoma,131-135,True,True,False,single/shared table,TX T0 Tis Tis(LAMN) T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2,M0 M1a M1b M1c MX,grade/G,stage table uses T subcategories; stage table uses M subcategories; requires grade/G,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
20.0,Colon and Rectum,136-140,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b,M0 M1a M1b M1c MX,,stage table uses N subcategories; stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
22.0,Liver,145-148,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
23.0,Intrahepatic Bile Duct,149-152,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
