form_id,cancer_site_or_form,supplement_pages,has_tnm_definitions,has_stage_group,no_prognostic_stage_group,stage_group_sections_detected,t_categories_defined,n_categories_defined,m_categories_defined,required_inputs_in_stage_table,stage_table_risk_flags,tool_model_recommendation
16.1,Esophagus and Esophagogastric Junction: Squamous Cell Carcinoma,94-100,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,grade/G; histology; tumor location/site,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology; requires tumor location/site,Smart-form needed before validated release.
16.2,Esophagus and Esophagogastric Junction: Adenocarcinoma,101-106,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,grade/G; histology,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology,Smart-form needed before validated release.
16.3,Esophagus and Esophagogastric Junction: Other Histologies,107-111,True,True,True,none,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.
17,Stomach,112-118,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3 N3a N3b,M0 M1 MX,,stage table uses N subcategories; stage table uses T subcategories; separate stage tables by classification,Smart-form needed before validated release.
18.1,Small Intestine: Adenocarcinoma,120-125,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
18.2,Small Intestine: Other Histologies,126-130,True,True,True,none,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.
19,Appendix - Carcinoma,131-135,True,True,False,single/shared table,TX T0 Tis Tis(LAMN) T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2,M0 M1a M1b M1c MX,grade/G,stage table uses T subcategories; stage table uses M subcategories; requires grade/G,Smart-form needed before validated release.
20,Colon and Rectum,136-140,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b,M0 M1a M1b M1c MX,,stage table uses N subcategories; stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.
22,Liver,145-148,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.
23,Intrahepatic Bile Duct,149-152,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.
24,Gallbladder,153-156,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.
25,Perihilar Bile Ducts,157-159,True,True,False,single/shared table,TX T0 Tis T1 T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.
26,Distal Bile Duct,160-163,True,True,False,single/shared table,TX Tis T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
27,Ampulla of Vater,164-167,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T3a T3b T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.
28,Exocrine Pancreas,168-171,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T1c T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
29,Neuroendocrine Tumors of the Stomach,172-175,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
30,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,176-181,True,True,False,single/shared table,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
31,Neuroendocrine Tumors of the Jejunum and Ileum,182-186,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
32,Neuroendocrine Tumors of the Appendix,187-191,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
33,Neuroendocrine Tumors of the Colon and Rectum,192-195,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
34,Neuroendocrine Tumors of the Pancreas,196-200,True,True,False,single/shared table,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
43.1,Gastrointestinal Stromal Tumor: Gastric and Omental GIST,240-242,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,mitotic rate,requires mitotic rate,Smart-form needed before validated release.
43.2,"Gastrointestinal Stromal Tumor: Small Intestinal, Esophageal, Colorectal, Mesenteric,",243-245,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,mitotic rate,requires mitotic rate,Smart-form needed before validated release.
77,Adrenal – Neuroendocrine Tumors,460-463,True,True,False,single/shared table,TX T1 T2 T3,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.
