edition,page,hit_type,context
AJCC7,7,stage_group,judicious addition of nonanatomic factors to the classiﬁ cations that modiﬁ ed stage groups. This shift away from purely anatomic information has been extended in the current edition. Relevant markers that are of such importance that they are required for clini- cians to make clear treatment dec
AJCC7,13,stage_group,"League of Nations Health Organiza- tion (1929), the International Commission on Stage Group- ing and Presentation of Results (ICPR) of the International Congress of Radiology (1953), and the International Union Against Cancer (UICC). The latter organization became most active in the ﬁ eld through"
AJCC7,14,stage_group,"the AJCC and the UICC has resulted in uniform and identical deﬁ ni- tions and stage groupings of cancers for all anatomic sites so that a universal system is now available. This worldwide system was espoused by Robert V. P. Hutter, M.D., in his Presidential Address at the combined meeting of th"
AJCC7,19,stage_group,"the revised AJCC staging algorithms, nonanatomic factors are incorporated into stage grouping where needed. This practice started in a limited fashion in prior editions. However, anatomic extent of disease remains central to deﬁ ning cancer prognosis. Most proposed nonanatomic prognostic factor"
AJCC7,19,definitions_tnm,"ntrol (UICC). The TNM system classiﬁ es cancers by the size and extent of the primary tumor (T), involvement of regional lymph node (N), and the presence or absence of distant metasta- ses (M), supplemented in recent years by carefully selected nonanatomic prognostic factors. There is a TNM stag"
AJCC7,20,stage_group,"iteria are used in place of T, N, and M, and in the case of lymphoma only the stage group is deﬁ ned. The general rules for deﬁ ning elements of staging are presented later, and the speciﬁ cs for each type of disease are in the respective chapters. Beginning with the sixth edition of the AJCC"
AJCC7,21,stage_group,"of patients with a similar prognosis, T, N, and M are grouped into so-called anatomic stage/prognostic groups , commonly referred to as stage groups. Groups are classiﬁ ed by Roman numerals from I to IV with increasing severity of disease. Stage I generally denotes cancers that are smaller or"
AJCC7,22,stage_group,"two types of site-speciﬁ c factors: those that are required for deriving the “Anatomic Stage/Prognos- tic Group” (e.g., Gleason’s Score in prostate cancer) and those that are key prognostic or predictive factors for a given disease (e.g., estrogen receptor and HER2/neu status in breast cancer)."
AJCC7,23,definitions_tnm,"p, r, or a may be applied to denote the classification of stage (see later): Primary Tumor (T) T0 No evidence of primary tumor Tis Carcinoma in situ T1, T2, T3, T4 Increasing size and/or local extension of the primary tumor TX Primary tumor cannot be assessed (use of TX should be minimized) Reg"
AJCC7,24,stage_group,"ng. In some cancer types, nonanatomic factors are required for assigning the anatomic stage/prognostic group. These are clearly deﬁ ned in each chapter. These factors are collected separately from T, N, and M, which remain purely anatomic, and are used to assign stage groups. Where nonan- atom"
AJCC7,25,stage_group,"clinical situations where it is unclear if the lymph nodes are N2 or N1), or anatomic stage/prognostic group, default to the lower (lesser) of the two categories in the uncertain range. 6. Nonanatomic factor not available: If a nonanatomic factor required for grouping is not available, the"
AJCC7,27,stage_group,"te the uncertain prognostic signiﬁ cance of these ﬁ ndings and to classify the stage group according to the T and N and M0. Pathologic staging depends on the proven anatomic extent of disease, whether or not the primary lesion has been com- pletely removed. If a primary tumor cannot be technica"
AJCC7,28,stage_group,"inical and pathologic information obtained at the time of death and autopsy. Stage Groupings. Cases of cancers with similar prognosis are grouped based on the assigned cT, cN, and cM and/or pT, pN and c/pM categories, and disease-speciﬁ c groups of T, N, and M are deﬁ ned. In select disease"
AJCC7,30,stage_group,"e speciﬁ c deﬁ nitions of T, N, M, site-speciﬁ c factors, and ana- tomic stage/prognostic groups (Table 1.10 ). Cancer Staging Data Form. Each site chapter includes a staging data form that may be used by providers and reg- istrars to record the TNM classiﬁ cations and the stage of the cance"
AJCC7,37,definitions_tnm,"may be utilized and, in advanced tumor stages, have added to the accuracy of primary tumor (T) and nodal (N) staging, especially in the nasopharyngeal and paranasal sinuses, primary sites, and regional lymph nodes. Endoscopic evalu- ation of the primary tumor, when appropriate, is desirable for"
AJCC7,37,chapter_summary,Head and Neck 21 PART II Head and Neck General Rules SUMMARY OF CHANGES ● The terms “resectable” and “unresectable” are replaced with “moderately advanced” and “very advanced” ● No major changes have been made in the N staging for any sites except that a descriptor
AJCC7,38,stage_group,"In reviewing the staging systems, no major changes in the T classiﬁ cations or stage groupings are made, since they reﬂ ect current practices of treatment, clini- cal relevance, and contemporary data. Uniform T classiﬁ cation for oral cavity, oropharynx, and salivary and thyroid cancers has greatl"
AJCC7,45,stage_group,"advanced local/regional disease), and Stage IVC (distant metastatic disease) ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0"
AJCC7,45,chapter_summary,"a of the lip and oral cavity is not included in this chapter – see Chap. 9.) At-A-Glance SUMMARY OF CHANGES ● T4 lesions have been divided into T4a (moderately advanced local disease) and T4b (very advanced local disease), leading to the stratiﬁ cation of Stage IV into Stage IVA (moderately"
AJCC7,49,stage_group,ension Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0 T4a N1
AJCC7,49,definitions_tnm,Lip and Oral Cavity 33 3 DEFINITIONS OF TNM Primary Tumor (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis Carcinoma in situ T1 Tumor 2 cm or less in greatest dimension T2 Tumor more than 2 cm but not more than 4 cm
AJCC7,50,stage_group,34 American Joint Committee on Cancer • 2010 ANATOMIC STAGE/PROGNOSTIC GROUPS (CONTINUED) Stage IVB Any T N3 M0 T4b Any N M0 Stage IVC Any T Any N M1 PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) (Recommended for Collection) Required for stag
AJCC7,53,stage_group,ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis y clinical– staging completed after neoadjuvant therapy but before subsequent surgery y pathologic – staging completed after neoadjuvant therapy AND subsequent surgery CLINICAL Exten
AJCC7,53,definitions_tnm,Lip and Oral Cavity 37 PRIMARY TUMOR (T) Primary tumor cannot be assessed No evidence of primary tumor Carcinoma in situ Tumor 2 cm or less in greatest dimension Tumor more than 2 cm but not more than 4 cm in greatest dimension Tumor more than
AJCC7,54,stage_group,"ffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,57,stage_group,"advanced local/regional disease), and Stage IVC (distant metastatic disease) ANATOMIC STAGE/PROGNOSTIC GROUPS Nasopharynx Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T1 N1 M0 T2 N0 M0 T2 N1 M0 Stage III T1 N2 M0 T2 N2 M0 T3 N0 M0"
AJCC7,57,chapter_summary,". Staging of mucosal melanoma of the pharynx is not included – see Chap. 9.) At-A-Glance SUMMARY OF CHANGES ● For nasopharynx, T2a lesions will now be designated T1. Stage IIA will therefore be Stage I. Lesions previously staged T2b will be T2 and therefore Stage IIB will now be designated"
AJCC7,58,stage_group,"and neck depicting the subdivisions of the pharynx as described in the text. ANATOMIC STAGE/PROGNOSTIC GROUPS (CONTINUED) Oropharynx, hypopharynx Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1"
AJCC7,60,definitions_tnm,"nd neck sites is staged using a uniform classiﬁ cation discussed in Chap. 9. DEFINITIONS OF TNM Primary Tumor (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis Carcinoma in situ Nasopharynx T1 Tumor conﬁ ned to the nasopharynx, or tumor extends to oropharynx and/or nas"
AJCC7,62,stage_group,46 American Joint Committee on Cancer • 2010 ANATOMIC STAGE/PROGNOSTIC GROUPS Nasopharynx Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T1 N1 M0 T2 N0 M0 T2 N1 M0 Stage III T1 N2 M0 T2 N2 M0 T3 N0 M0 T3 N1
AJCC7,67,definitions_tnm,"AND subsequent surgery TX T0 Tis T1 T2 T3 T4 T1 T2 T3 T4a T4b T1 T2 T3 T4a T4b PRIMARY TUMOR (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis Carcinoma in situ Nasopharynx Tumor confined to the nasopharynx, or extends to oropharynx and/or nasal cavity without paraph"
AJCC7,68,stage_group,"STASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 P HARYNX S TAGING F ORM HOSPITAL NAME/ADDRESS PATIENT NAME/ INFORMATION N2 N3 N3a N3b (continued from previous page) In order to view this proof accurately, the Overprint Preview Optio"
AJCC7,70,stage_group,"uffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,73,stage_group,up of the plane passing through the inferior edge of the cricoid cartilage. ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0
AJCC7,73,chapter_summary,"those of lymphoid tissue, soft tissue, bone, and cartilage are not included) At-A-Glance SUMMARY OF CHANGES ● T4 lesions have been divided into T4a (moderately advanced local disease) and T4b (very advanced local disease), leading to the stratiﬁ cation of Stage IV into Stage IVA (moderately"
AJCC7,75,definitions_tnm,nd neck sites is staged using a uniform classiﬁ cation discussed in Chap. 9. DEFINITIONS OF TNM Primary Tumor (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis Carcinoma in situ Supraglottis T1 Tumor limited to one subsite of supraglottis with normal vocal cord mobilit
