term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note
"Nausea","Gastrointestinal disorders","CTCAE v5.0","queasy;upset stomach","Loss of appetite without altered eating habits","Oral intake decreased without significant weight loss, dehydration, or malnutrition","Inadequate oral intake; tube feeding, TPN, or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Sensation of unease and discomfort in the upper stomach with urge to vomit.","Supportive-care quick reference."
"Constipation","Gastrointestinal disorders","CTCAE v5.0","hard stool;ileus differential","Occasional or intermittent symptoms; occasional stool softener or laxative indicated","Persistent symptoms with regular laxatives or enemas indicated; limiting instrumental ADL","Obstipation with manual evacuation indicated; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Infrequent or difficult evacuation of feces.","Consider ileus or bowel obstruction if severe."
"Abdominal pain","Gastrointestinal disorders","CTCAE v5.0","belly pain;stomach pain","Mild pain","Moderate pain; limiting instrumental ADL","Severe pain; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Pain in the abdominal region.","Broad symptom term; search etiology separately."
"Colitis","Gastrointestinal disorders","CTCAE v5.0","immune colitis;ICI colitis","Asymptomatic; clinical or diagnostic observations only","Abdominal pain; mucus or blood in stool","Severe abdominal pain; peritoneal signs; change in bowel habits; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Inflammation of the colon.","Important ICI toxicity; also grade diarrhea separately when applicable."
"Gastrointestinal hemorrhage","Gastrointestinal disorders","CTCAE v5.0","GI bleeding;melena;hematochezia","Mild symptoms; intervention not indicated","Moderate symptoms; medical intervention indicated","Transfusion, radiologic, endoscopic, or operative intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Bleeding originating in the gastrointestinal tract.","ADC, anti-VEGF, thrombocytopenia, tumor bleeding differential."
"Ileus","Gastrointestinal disorders","CTCAE v5.0","paralytic ileus;bowel ileus","Asymptomatic or mild symptoms; intervention not indicated","Symptomatic; medical intervention indicated","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Functional obstruction of the intestines.","Differentiate from mechanical obstruction."
"Pancreatitis","Gastrointestinal disorders","CTCAE v5.0","pancreas inflammation;amylase lipase symptom","Asymptomatic enzyme elevation or mild symptoms","Moderate symptoms; medical intervention indicated","Severe pain, vomiting, or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Inflammation of the pancreas.","Also search lipase/amylase increased."
"Ascites","Gastrointestinal disorders","CTCAE v5.0","腹水;fluid abdomen","Asymptomatic; intervention not indicated","Symptomatic; medical intervention indicated","Severe symptoms; invasive intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Accumulation of fluid in the peritoneal cavity.","Useful for liver cancer, peritoneal disease, VEGF/IO toxicity differential."
"Alkaline phosphatase increased","Investigations","CTCAE v5.0","ALP;alk phos","Mild increase above normal or baseline","Moderate increase; intervention or closer monitoring indicated","Severe increase; medically significant","Life-threatening consequences; urgent intervention indicated","-","Increase in alkaline phosphatase in blood.","Use protocol CTCAE numeric threshold when reporting."
"Gamma-glutamyltransferase increased","Investigations","CTCAE v5.0","GGT;gamma GT;rGT","Mild increase above normal or baseline","Moderate increase; intervention or closer monitoring indicated","Severe increase; medically significant","Life-threatening consequences; urgent intervention indicated","-","Increase in gamma-glutamyltransferase in blood.","Use protocol CTCAE numeric threshold when reporting."
"Lipase increased","Investigations","CTCAE v5.0","lipase;pancreatitis lab","Mild increase above normal or baseline","Moderate increase; intervention or closer monitoring indicated","Severe increase; medically significant","Life-threatening consequences; urgent intervention indicated","-","Increase in lipase in blood.","If symptomatic, consider pancreatitis term."
"Amylase increased","Investigations","CTCAE v5.0","amylase;pancreatitis lab","Mild increase above normal or baseline","Moderate increase; intervention or closer monitoring indicated","Severe increase; medically significant","Life-threatening consequences; urgent intervention indicated","-","Increase in amylase in blood.","If symptomatic, consider pancreatitis term."
"Hyponatremia","Metabolism and nutrition disorders","CTCAE v5.0","low sodium;Na","Mild sodium decrease; usually asymptomatic","Moderate sodium decrease; intervention indicated","Severe sodium decrease or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum sodium.","Could reflect SIADH, adrenal insufficiency, diarrhea, dehydration. Use protocol numeric threshold."
"Hypokalemia","Metabolism and nutrition disorders","CTCAE v5.0","low potassium;K","Mild potassium decrease; usually asymptomatic","Moderate potassium decrease; oral replacement indicated","Severe potassium decrease; IV replacement or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum potassium.","Relevant for diarrhea, vomiting, renal tubular toxicity. Use protocol numeric threshold."
"Hyperkalemia","Metabolism and nutrition disorders","CTCAE v5.0","high potassium;K","Mild potassium increase; usually asymptomatic","Moderate potassium increase; intervention indicated","Severe potassium increase; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally high serum potassium.","Check hemolysis, AKI, adrenal insufficiency. Use protocol numeric threshold."
"Hypomagnesemia","Metabolism and nutrition disorders","CTCAE v5.0","low magnesium;Mg","Mild magnesium decrease","Moderate decrease; replacement indicated","Severe decrease; hospitalization or IV replacement indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum magnesium.","Relevant for EGFR antibody, diarrhea, platinum. Use protocol numeric threshold."
