test,result,note
index_has_publish_button,PASS,index.html contains admin button label 發布公開查詢
index_has_download_public_json_button,PASS,index.html contains admin button label 下載公開JSON
index_has_public_preview_button,PASS,index.html contains admin button label 公開頁預覽
index_no_visible_repair_button,PASS,visible 修復06C/06F狀態 button removed from toolbar
index_keeps_repair_function_internal,PASS,repair function retained internally for automatic/data repair compatibility
button_row_wraps,PASS,toolbar class changed to flex flex-wrap to avoid hidden overflow on narrow windows
version_label_updated,PASS,visible title updated to v4.3.2 Firebase版
firestore_publish_function_exists,PASS,handlePublishPublicTrials exists and calls publishPublicTrialsToFirestore
public_json_export_function_exists,PASS,handleExportPublicTrialsJSON exists and downloads public_trials.json
public_page_exists,PASS,public-trials.html included as independent public entry
public_json_fallback_exists,PASS,public_trials.json included for fallback
no_github_workflows,PASS,zip does not include .github/workflows
javascript_syntax_index,PASS,node --check passed for extracted index inline script
javascript_syntax_404,PASS,node --check passed for extracted 404 inline script
javascript_syntax_public_page,PASS,node --check passed for extracted public-trials inline script
