site_group,site_order,tool_site,ajcc7_source_sites,ajcc7_source_pages,ajcc7_import_rule_rows,ajcc8_source_sites,ajcc8_source_pages,ajcc8_import_rule_rows,coverage_status,crosswalk_note,review_instruction
Head & Neck / 頭頸部,22,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,,,0,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck:p15-17,5,ajcc8_only_import_rows,New/changed AJCC8 site; no direct AJCC7 chapter in uploaded 7th manual TOC.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,23,Oral Cavity,Lip and Oral Cavity,Lip and Oral Cavity:p45-56,16,Oral Cavity,Oral Cavity:p18-32,16,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,24,Major Salivary Glands,Major Salivary Glands,Major Salivary Glands:p95-102,15,Major Salivary Glands,Major Salivary Glands:p33-35,10,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,25,Nasopharynx,"Pharynx (Including base of tongue, soft palate, and uvula)","Pharynx (Including base of tongue, soft palate, and uvula):p57-72",39,Nasopharynx,Nasopharynx:p36-37,0,ajcc7_only_import_rows,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,26,HPV-Mediated (p16+) Oropharyngeal Cancer,"Pharynx (Including base of tongue, soft palate, and uvula)","Pharynx (Including base of tongue, soft palate, and uvula):p57-72",39,HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer:p38-39,11,both_editions_have_import_rows,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,27,Oropharynx (p16-),"Pharynx (Including base of tongue, soft palate, and uvula)","Pharynx (Including base of tongue, soft palate, and uvula):p57-72",39,Oropharynx (p16-) and Hypopharynx | Oropharynx (p16-),Oropharynx (p16-) and Hypopharynx:p40-45,0,ajcc7_only_import_rows,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,28,Hypopharynx,"Pharynx (Including base of tongue, soft palate, and uvula)","Pharynx (Including base of tongue, soft palate, and uvula):p57-72",39,Oropharynx (p16-) and Hypopharynx | Hypopharynx,Oropharynx (p16-) and Hypopharynx:p40-45,0,ajcc7_only_import_rows,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,29,Maxillary Sinus,Nasal Cavity and Paranasal Sinuses,Nasal Cavity and Paranasal Sinuses:p85-94,16,Nasal Cavity and Paranasal Sinuses | Maxillary Sinus,Nasal Cavity and Paranasal Sinuses:p46-47,1,both_editions_have_import_rows,AJCC7 uses a broader nasal cavity/paranasal sinus chapter; AJCC8 may split sites.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,30,Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Paranasal Sinuses,Nasal Cavity and Paranasal Sinuses:p85-94,16,Nasal Cavity and Paranasal Sinuses | Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Paranasal Sinuses:p46-47,1,both_editions_have_import_rows,AJCC7 uses a broader nasal cavity/paranasal sinus chapter; AJCC8 may split sites.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,31,Larynx: Supraglottis,Larynx,Larynx:p73-84,16,Larynx,Larynx:p48-49,3,both_editions_have_import_rows,Tool split by laryngeal subsite; uploaded rule rows may be from broader Larynx chapter.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,32,Larynx: Glottis,Larynx,Larynx:p73-84,16,Larynx,Larynx:p48-49,3,both_editions_have_import_rows,Tool split by laryngeal subsite; uploaded rule rows may be from broader Larynx chapter.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,33,Larynx: Subglottis,Larynx,Larynx:p73-84,16,Larynx,Larynx:p48-49,3,both_editions_have_import_rows,Tool split by laryngeal subsite; uploaded rule rows may be from broader Larynx chapter.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,34,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck:p113-118,5,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck:p50-51,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Head & Neck / 頭頸部,35,Cutaneous Carcinoma of the Head and Neck,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas:p317-330,26,Cutaneous Carcinoma of the Head and Neck,Cutaneous Carcinoma of the Head and Neck:p52-57,17,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Thoracic / 胸腔,39,Thymus,,,0,Thymus,Thymus:p94-95,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Thoracic / 胸腔,40,Lung,Lung,Lung:p269-286,28,Lung,Lung:p96-96,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Thoracic / 胸腔,41,Malignant Pleural Mesothelioma,Pleural Mesothelioma,Pleural Mesothelioma:p287-296,20,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma:p97-98,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Breast / 乳房,52,Breast,Breast,Breast:p363-394,24,Breast,Breast:p119-166,34,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
