site,edition,audit_status,stage_group_sections,required_inputs,risk_flags,recommendation,source_pages,notes
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,14-18,Stage table metadata only; rule rows require separate validation.
Oral Cavity,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,19-24,Stage table metadata only; rule rows require separate validation.
Major Salivary Glands,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,25-29,Stage table metadata only; rule rows require separate validation.
Nasopharynx,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,30-33,Stage table metadata only; rule rows require separate validation.
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM,,separate stage tables by classification,Smart-form needed before validated release.,34-38,Stage table metadata only; rule rows require separate validation.
Oropharynx (p16-),AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,40-45,Stage table metadata only; rule rows require separate validation.
Hypopharynx,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,46-51,Stage table metadata only; rule rows require separate validation.
Maxillary Sinus,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,53-58,Stage table metadata only; rule rows require separate validation.
Nasal Cavity and Ethmoid Sinus,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,59-64,Stage table metadata only; rule rows require separate validation.
Larynx: Supraglottis,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,66-71,Stage table metadata only; rule rows require separate validation.
Larynx: Glottis,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,72-77,Stage table metadata only; rule rows require separate validation.
Larynx: Subglottis,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,78-82,Stage table metadata only; rule rows require separate validation.
Mucosal Melanoma of the Head and Neck,AJCC8,metadata-audited-v0.2,none,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,83-87,Stage table metadata only; rule rows require separate validation.
Cutaneous Carcinoma of the Head and Neck,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,88-92,Stage table metadata only; rule rows require separate validation.
Esophagus and Esophagogastric Junction: Squamous Cell Carcinoma,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,grade/G; histology; tumor location/site,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology; requires tumor location/site,Smart-form needed before validated release.,94-100,Stage table metadata only; rule rows require separate validation.
