site,edition,classification,t,n,m,grade,location,stage,note
Oral Cavity,AJCC7,any,Tis,N0,M0,Any,Any,0,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.0 External upper lip; duplicate_source_page=49; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,T1,N0,M0,Any,Any,I,"source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.2 External lip, NOS; duplicate_source_page=49; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity"
Oral Cavity,AJCC7,any,T2,N0,M0,Any,Any,II,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.4 Mucosa of lower lip; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,T3,N0,M0,Any,Any,III,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.6 Commissure of lip; duplicate_source_page=49; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,T1,N1,M0,Any,Any,III,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C00.8 Overlapping lesion of lip; duplicate_source_page=49; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,T2,N1,M0,Any,Any,III,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C00.9 Lip, NOS; duplicate_source_page=49; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity"
Oral Cavity,AJCC7,any,T3,N1,M0,Any,Any,III,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C02.0 Dorsal surface of tongue, NOS; duplicate_source_page=49; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity"
Oral Cavity,AJCC7,any,T4a,N0,M0,Any,Any,IVA,"source_page=45; extract_method=stage_first; extra_factors/raw_extra=C02.2 Ventral surface of tongue, NOS; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity"
Oral Cavity,AJCC7,any,T4a,N1,M0,Any,Any,IVA,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C02.3 Anterior two-thirds of; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,T1,N2,M0,Any,Any,IVA,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=tongue, NOS; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity"
Oral Cavity,AJCC7,any,T2,N2,M0,Any,Any,IVA,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C02.9 Tongue, NOS; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity"
Oral Cavity,AJCC7,any,T3,N2,M0,Any,Any,IVA,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C03.0 Upper gum; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,T4a,N2,M0,Any,Any,IVA,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C03.1 Lower gum; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,Any,N3,M0,Any,Any,IVB,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C04.0 Anterior floor of mouth; duplicate_source_page=50; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
