site,strategy,required_extra_inputs,notes
Esophagus / EGJ - squamous,CHECKED_TNM_FIRST_WITH_AMBIGUITY_RANGES,none in quick mode,Clinical TNM quick stage does not require grade/location. AJCC7/8 full prognostic forms may separate selected early rows; quick mode reports ranges instead of asking extra fields.
Esophagus / EGJ - adenocarcinoma,CHECKED_TNM_FIRST_WITH_AMBIGUITY_RANGES,none in quick mode,Clinical TNM quick stage does not require grade/location. AJCC7/8 full prognostic forms may separate selected early rows; quick mode reports ranges instead of asking extra fields.
Stomach,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Small intestine,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Colon,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Rectum,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Appendix - carcinoma,CHECKED_SPECIAL,grade for M1a/M1b ambiguity,Appendix carcinoma uses grade in metastatic subgrouping; quick mode asks grade only where loaded rows require it.
GIST,EXCEPTION_NOT_TNM_ONLY,anatomic site; mitotic rate,No TNM-only stage rows released; use formal GIST table.
HCC / Liver,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Intrahepatic bile duct,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Perihilar bile duct,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Distal bile duct,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Gallbladder,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Ampulla of Vater,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
Exocrine pancreas,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
NET - stomach,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
NET - duodenum / ampulla,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
NET - jejunum / ileum,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
NET - appendix,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
NET - colon / rectum,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
NET - pancreas,CHECKED_TNM_FIRST,none beyond exact TNM subcategories,TNM-first quick staging rows present for at least one edition; consult coverage report for AJCC7/8 availability.
